ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"76.178.161.35","elite","AS10838","US","Charter Communications","189","Spectrum","39593","socks4","4903","1","2023-07-30T17:35:51.940Z","100","3134","3136"
"185.47.48.109","elite","AS48359","IR","Hesabgar Pardaz Gharb PJSC","188","Hesabgar T","1025","socks4","5089","1","2023-07-30T17:35:51.851Z","99","3049","3069"
"95.216.228.240","elite","AS24940","FI","Hetzner Online GmbH","81","HETZNER-DC","14807","socks5","799","1","2023-07-30T17:35:51.936Z","70","2118","3040"
"149.20.253.104","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","4993","1","2023-07-30T17:35:48.647Z","100","3060","3067"
"148.251.232.232","elite","AS24940","DE","Hetzner Online GmbH","82","Hetzner","14165","socks5","4807","1","2023-07-30T17:35:48.642Z","100","3133","3135"
"46.227.37.61","elite","AS51155","PL","Telemedian - TB Telecom","96","Telemedian","1088","socks4","4791","1","2023-07-30T17:35:48.746Z","100","3152","3161"
"211.174.114.225","elite","AS4766","KR","Netropy","289","seoulfnf","4153","socks4","4485","1","2023-07-30T17:35:48.639Z","100","3116","3124"
"198.251.89.198","elite","AS53667","LU","FranTech Solutions","23","FranTech Solutions","51675","socks5","2081","1","2023-07-30T17:35:48.747Z","100","3042","3050"
"103.57.222.220","elite","AS135905","VN","INET","304","iNET Media Company Limited","37842","socks5","4405","1","2023-07-30T17:35:45.339Z","99","3042","3067"
"36.91.116.162","elite","AS7713","ID","PT Telekomunikasi Indonesia","195","Telekomunikasi Indonesia","5678","socks4","4089","1","2023-07-30T17:35:45.249Z","98","3078","3143"
"179.107.52.100","elite","AS263284","BR","Topmega Internet e Informática LTDA -ME","212","Topmega Internet e Informática LTDA -ME","4153","socks4","4214","1","2023-07-30T17:35:45.335Z","95","2950","3105"
"197.234.13.25","elite","AS36902","SC","Intelvision","188","Intelvision Ltd","4145","socks4","3714","1","2023-07-30T17:35:45.337Z","100","3147","3158"
"191.241.145.23","elite","AS262784","BR","SATURNO COMUNICAÇÕES LTDA","221","SATURNO COMUNICAÇÕES LTDA","4153","socks5","4894","1","2023-07-30T17:35:45.336Z","98","2967","3014"
"162.12.217.89","elite","AS204902","FR","Weelax","144","XIWO","3629","socks4","600","2","2023-07-30T17:35:45.251Z","99","3088","3135"
"94.79.54.7","elite","AS48614","RU","comcor.ru","46","N/A","51439","socks4","4405","1","2023-07-30T17:35:45.250Z","92","2914","3157"
"31.206.38.46","elite","AS15924","TR","Vodafone NET Iletisim Hizmetleri Anonim Sirketi","68","Vfnet Data Support","37630","socks4","5588","1","2023-07-30T17:35:42.040Z","100","3137","3148"
"190.145.120.182","elite","AS14080","CO","Telmex Colombia S.A.","184","Telmex Colombia S.A.","5678","socks4","4893","82","2023-07-30T17:35:42.139Z","98","3046","3120"
"103.10.99.110","elite","AS18103","ID","Neuviz","300","N/A","5678","socks4","3811","1","2023-07-30T17:35:42.038Z","96","3047","3160"
"45.114.118.231","elite","AS134451","ID","CLDREU","290","N/A","203","socks4","3405","1","2023-07-30T17:35:42.042Z","98","3013","3079"
"107.173.185.72","elite","AS36352","US","ColoCrossing","89","ColoCrossing","80","socks5","5008","1","2023-07-30T17:35:42.138Z","100","3118","3126"
"91.90.114.237","elite","AS49787","PL","STRONG-PC","34","STRONG-PC Tomasz Piekarski","1080","socks5","4095","1","2023-07-30T17:35:42.233Z","86","2705","3139"
"109.188.79.159","elite","AS25159","RU","MSK SCARTEL network - FixedIP","97","N/A","4145","socks5","4688","1","2023-07-30T17:35:42.135Z","99","3068","3109"
"34.120.118.219","elite","AS396982","US","Google LLC","2","Google Cloud","2061","socks5","1424","1","2023-07-30T17:35:42.137Z","100","3040","3040"
"121.226.212.32","elite","AS4134","CN","Chinanet","294","Chinanet JS","1080","socks4","4591","1","2023-07-30T17:35:38.948Z","56","1748","3129"
"118.68.218.212","elite","AS18403","VN","FPT Telecom Company","192","FPTDYNAMICIP","8080","socks4","3600","1","2023-07-30T17:35:38.949Z","99","3133","3156"
"103.214.54.90","elite","AS38517","ID","MAXMEDIA","197","N/A","8080","socks4","4695","1","2023-07-30T17:35:38.953Z","98","3090","3142"
"39.108.139.217","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","284","Aliyun Computing Co., LTD","11188","socks5","2970","1","2023-07-30T17:35:38.951Z","78","2439","3143"
"14.225.254.160","elite","AS135905","VN","Vietnam Posts and Telecommunications Group","291","VNPT","5555","socks4","2998","1","2023-07-30T17:35:38.947Z","29","888","3083"
"37.99.224.225","elite","AS48500","IT","INC-LOW","89","N/A","7497","socks5","4191","1","2023-07-30T17:35:35.837Z","99","3092","3111"
"103.59.203.209","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","130","NET 4 U Services PVT LTD","4145","socks4","5101","1","2023-07-30T17:35:35.737Z","99","3106","3129"
"58.48.122.170","elite","AS4134","CN","Chinanet","287","Chinanet HB","7302","socks5","5010","1","2023-07-30T17:35:35.741Z","80","2496","3124"
"103.229.85.54","elite","AS133443","BD","Ashfakur Rahman Chowdhury t/a Comilla Online","184","N/A","4145","socks4","4794","1","2023-07-30T17:35:35.742Z","99","3102","3144"
"5.161.109.187","elite","AS213230","US","Hetzner Online GmbH","95","HETZNER-DC","30153","socks4","4696","1","2023-07-30T17:35:35.744Z","47","1442","3067"
"139.59.61.51","elite","AS14061","IN","DigitalOcean","134","DigitalOcean, LLC","43394","socks4","3102","1","2023-07-30T17:35:35.743Z","73","2319","3161"
"110.78.152.199","elite","AS131090","TH","CAT-BB","191","N/A","5678","socks4","2575","1","2023-07-30T17:35:35.739Z","83","2542","3050"
"185.66.59.192","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","28","Svint","42647","socks4","4611","1","2023-07-30T17:35:32.442Z","89","2789","3137"
